trigger,Av1,Ap1,Av2,Ap2,Bv1,Bp1,Bv2,Bp2
1,0.0,0.6,20.0,0.4,10.0,0.4,6.67,0.6
2,4.0,0.5,3.0,0.5,0.0,0.3,5.0,0.7
3,1.0,0.45,4.0,0.55,4.4,0.6,0.0,0.4
4,10.0,0.7,4.0,0.3,10.25,0.8,0.0,0.2
5,10.5,0.5,6.0,0.5,11.0,0.75,0.0,0.25
6,0.0,0.3,12.0,0.7,10.0,0.6,6.0,0.4
7,7.5,0.5,0.0,0.5,2.0,0.65,7.0,0.35
8,3.3,0.4,2.25,0.6,4.0,0.67,0.0,0.33
9,0.0,0.4,16.0,0.6,22.5,0.4,1.0,0.6
10,4.5,0.7,0.0,0.3,0.3,0.5,6.0,0.5
11,5.0,0.6,0.0,0.4,0.4,0.55,6.2,0.45
12,11.5,0.7,0.6,0.3,10.3,0.8,0.0,0.2
13,0.0,0.25,11.35,0.75,16.25,0.5,0.75,0.5
14,0.4,0.6,7.3,0.4,0.0,0.3,4.5,0.7
15,0.0,0.5,4.0,0.5,0.39,0.65,5.0,0.35
16,11.27,0.67,0.0,0.33,0.6,0.6,18.0,0.4
17,2.0,0.5,3.4,0.5,2.5,0.6,3.0,0.4
18,2.0,0.6,5.25,0.4,3.0,0.7,4.0,0.3
19,6.6,0.55,11.0,0.45,8.8,0.6,8.25,0.4
20,10.0,0.75,6.0,0.25,10.0,0.5,8.0,0.5
21,9.0,0.5,7.5,0.5,5.0,0.35,10.0,0.65
22,4.4,0.65,15.4,0.35,5.5,0.5,11.0,0.5
23,5.25,0.4,2.0,0.6,4.0,0.3,3.0,0.7
24,3.45,0.5,1.0,0.5,0.5,0.6,4.8,0.4
25,49.5,0.1,5.5,0.9,10.0,0.99,0.0,0.01
26,0.0,0.02,9.44,0.98,4.7,0.85,35.0,0.15
27,1.35,0.9,12.5,0.1,0.0,0.01,2.5,0.99
28,0.0,0.02,3.0,0.98,13.1,0.1,1.8,0.9
29,34.0,0.15,3.5,0.85,8.3,0.98,0.1,0.02
30,2.25,0.98,0.1,0.02,9.0,0.15,1.0,0.85
31,2.5,0.99,0.3,0.01,12.2,0.1,1.4,0.9
32,9.0,0.98,0.0,0.02,34.3,0.1,6.0,0.9
33,2.9,0.98,3.2,0.02,1.3,0.85,12.0,0.15
34,3.8,0.85,34.0,0.15,8.3,0.98,10.0,0.02
35,1.44,0.85,12.0,0.15,3.0,0.98,4.0,0.02
36,4.58,0.8,22.0,0.2,15.0,0.01,8.0,0.99
37,22.5,0.15,0.5,0.85,2.15,0.98,2.3,0.02
38,17.2,0.15,0.5,0.85,3.2,0.01,3.0,0.99
39,31.2,0.2,2.8,0.8,8.5,0.99,7.5,0.01
40,0.9,0.8,33.9,0.2,8.0,0.01,7.5,0.99
41,3.2,0.9,4.0,0.1,7.7,0.1,0.2,0.9
42,7.7,0.2,0.2,0.8,3.2,0.8,4.0,0.2
43,3.2,0.7,4.0,0.3,0.2,0.7,7.7,0.3
44,7.7,0.4,0.2,0.6,4.0,0.4,3.2,0.6
45,4.0,0.5,3.2,0.5,7.7,0.5,0.2,0.5
46,3.2,0.4,4.0,0.6,0.2,0.4,7.7,0.6
47,7.7,0.7,0.2,0.3,4.0,0.7,3.2,0.3
48,7.7,0.8,0.2,0.2,4.0,0.8,3.2,0.2
49,4.0,0.9,3.2,0.1,0.2,0.1,7.7,0.9
50,3.2,0.0,4.0,1.0,0.2,0.0,7.7,1.0
